timestamp,transactionHash,maker_address,market_slug,outcome,side,price,size,volume_usd,market_title
1766187921,0xad5b064d6e4b39c1495c21ae0c0cdbbb59a3749c9e0370e7425cc8802f79935a,0xd218e474776403a330142299f7796e8ba32eb5c9,will-anthony-joshau-win-by-kotkodq-113,No,BUY,0.26,197.95,51.467,Will Anthony Joshua win by KO/TKO/DQ?
1766187921,0xe68d47478affb8747c6dc9bbc63a30dcd537570c52d59cb2dbdf8a5eea0a8266,0xd218e474776403a330142299f7796e8ba32eb5c9,will-jake-paul-win-by-kotkodq-811,No,BUY,0.964,197.95,190.82379999999998,Will Jake Paul win by KO/TKO/DQ?
1766187921,0xebcd8034280793b1963295e1d58ad7a5e2cc58402e6ebb74f5ff8f15de5135e2,0xd218e474776403a330142299f7796e8ba32eb5c9,will-anthony-joshua-win-by-points-or-technical-decision-459,No,BUY,0.84,197.95,166.278,Will Anthony Joshua win by decision or technical decision?
1766187921,0x114c3bccc0187e1d6835bddd0a1e7ea233570a760f0f6d46be1ea7ed9988210f,0x0875e83361ca541c227e6ce87e877bbd7a7bf9d4,will-jake-paul-win-his-boxing-match-against-anthony-joshua,No,SELL,0.914,56.42,51.56788,Will Jake Paul win his boxing match against Anthony Joshua?
1766187919,0x7bb1b935fad2fb4462fa76efbab6c30dbd82311e1f7799c6d24ed233ffdb8d31,0x8b1b62d5c5bf631e814c8db6e9b78f60a2a09457,will-michael-jackson-be-named-in-newly-released-epstein-files,Yes,BUY,0.7276475778699374,113.33,82.46430000000001,Will Michael Jackson be named in newly released Epstein files?
1766188013,0xd60b72d89d0168c73911cb28e68098291215979a74b3e0f1b1acc83345fada08,0xd6b4bf910d4479184c4e17e01ec83ecbd376a278,nhl-van-nyi-2025-12-19,Islanders,BUY,0.56,9500,5320.000000000001,Canucks vs. Islanders
1766188013,0x4f2c53b5e6bd0d82d3edb6c70372f192a295556af6d201b3044a30be303a2bca,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,ethereum-up-or-down-december-19-6pm-et,Down,SELL,0.88,148.4,130.592,Ethereum Up or Down - December 19. 6PM ET
1766188013,0xbdb340c0072e9b202694eaa6cbf99723e36ba5d8a6b1fd8bf8a27a924149cd96,0x53757615de1c42b83f893b79d4241a009dc2aeea,boxing-jake-paul-vs-anthony-joshua,Paul,BUY,0.11,4923,541.53,Who will win Jake Paul vs Anthony Joshua?
1766188011,0x3ff4f7d9049f7a46e170ea154fddcac590b8dae5d202fbe925fc3a67fc521072,0x7131cb618fb195c70e8e629c45199096833c29cc,will-david-copperfield-be-named-in-newly-released-epstein-files,Yes,BUY,0.8485291285253188,188.99,160.36352000000002,Will David Copperfield be named in newly released Epstein files?
1766188011,0x5ab1c4eefb395dfb42499ef6244603d37d97781802d279c4ac81a80ff0f638ee,0xd218e474776403a330142299f7796e8ba32eb5c9,will-jake-paul-win-by-kotkodq-811,No,BUY,0.965,387.88,374.3042,Will Jake Paul win by KO/TKO/DQ?
1766188011,0x5c4d479e40e9e4569495ecf59a076bc70698fe5517ce8d8af416e738c190d8df,0xbace5a5a9e309d69164dc81788d353fed8d43429,megaeth-market-cap-fdv-4b-one-day-after-launch-484-688,No,BUY,0.92,3242.61,2983.2012000000004,MegaETH market cap (FDV) >$4B one day after launch?
1766188011,0x82b2e7ca667e80a4edcee492c578ef5d08774e1059cbe234fa9eac945f122fcd,0xe60a9b0be459d9849bc2339dac20517639ae6a47,nhl-wpg-col-2025-12-19,Avalanche,BUY,0.7,136,95.19999999999999,Jets vs. Avalanche
1766188011,0xe27181504155640eaefc34ee9ed67a221aed33330e8468b6786d8f93485cf10e,0x091eff205c9852cce82b530c6c2c31e530c684bc,cbb-sdkst-wbd-2025-12-19-total-152pt5,Over,BUY,0.9885105115328964,117.49,116.14009999999999,South Dakota State Jackrabbits vs. Milwaukee Panthers: O/U 152.5
1766188009,0x3be04e6d31f75e9ad6ec767cbe4b889ea2ebfa0294eca49da3da5a0bee8cc5a6,0x61c2adcd072cf46adc6b5e01edff51aa64ead436,cbb-coppst-navy-2025-12-19,Navy Midshipmen,BUY,0.9987943714503456,1461.762,1459.999658,Coppin State Eagles vs. Navy Midshipmen
1766188009,0x356808610438c39974c03ba87cc513733e49735f404aff5c6e85ed55b1a2e0e9,0xe60a9b0be459d9849bc2339dac20517639ae6a47,nba-sas-atl-2025-12-19,Spurs,BUY,0.61,100,61,Spurs vs. Hawks
1766188009,0x96696317456ae76c582f951961b2fe986ac048c9f9af2ee05a5980aa2dcc32e4,0xd218e474776403a330142299f7796e8ba32eb5c9,will-anthony-joshau-win-by-kotkodq-113,No,BUY,0.26,387.88,100.8488,Will Anthony Joshua win by KO/TKO/DQ?
1766188009,0x27027763fbeaa7444b579c61f6f44b5b9ff28fbcced72d4832ecc1c92e6cb571,0xa3ad70cf48a2f2b44163e798223c01a2c2536866,will-avatar-fire-and-ash-opening-weekend-box-office-be-between-101m-and-112m,No,BUY,0.939,501,470.43899999999996,Will "Avatar: Fire and Ash" Opening Weekend Box Office be between 101m and 112m?
1766188103,0x8b3cc40bba1269fa28e7f6cd3e45b4479c68523ea54aadfda454cfdfb9e2f18d,0x53757615de1c42b83f893b79d4241a009dc2aeea,boxing-jake-paul-vs-anthony-joshua,Paul,BUY,0.11,3029,333.19,Who will win Jake Paul vs Anthony Joshua?
1766188103,0x5511686ae8b5bd6b9e5e6d1dd6d3696d13cbf795b7754e7794c66d83fb32ff65,0xa1ef5db4318d2d0bec8564ed6da673ceee8892f0,zelenskyy-out-as-ukraine-president-before-2027,No,SELL,0.61,327.86,199.9946,Zelenskyy out as Ukraine president by end of 2026?
